Sample in Buffer	Sample in Window	adc_data_ch0
1365	1365	-1910	
1366	1366	1535	
1367	1367	2404	
1368	1368	-682	
1369	1369	-2512	
1370	1370	205	
1371	1371	2631	
1372	1372	688	
1373	1373	-2360	
1374	1374	-1168	
1375	1375	2186	
1376	1376	1878	
1377	1377	-1511	
1378	1378	-2190	
1379	1379	1118	
1380	1380	2553	
1381	1381	-218	
1382	1382	-2550	
1383	1383	-272	
1384	1384	2560	
1385	1385	1121	
1386	1386	-2150	
1387	1387	-1562	
1388	1388	1887	
1389	1389	2165	
1390	1390	-1116	
1391	1391	-2393	
1392	1392	669	
1393	1393	2635	
1394	1394	242	
1395	1395	-2504	
1396	1396	-731	
1397	1397	2409	
1398	1398	1519	
1399	1399	-1858	
1400	1400	-1907	
1401	1401	1530	
1402	1402	2400	
1403	1403	-685	
1404	1404	-2516	
1405	1405	211	
1406	1406	2636	
1407	1407	694	
1408	1408	-2374	
1409	1409	-1166	
1410	1410	2189	
1411	1411	1877	
1412	1412	-1518	
1413	1413	-2186	
1414	1414	1121	
1415	1415	2555	
1416	1416	-220	
1417	1417	-2551	
1418	1418	-265	
1419	1419	2558	
1420	1420	1126	
1421	1421	-2149	
1422	1422	-1574	
1423	1423	1886	
1424	1424	2170	
1425	1425	-1117	
1426	1426	-2396	
1427	1427	675	
1428	1428	2635	
1429	1429	245	
1430	1430	-2502	
1431	1431	-731	
1432	1432	2411	
1433	1433	1519	
1434	1434	-1872	
1435	1435	-1915	
1436	1436	1532	
1437	1437	2399	
1438	1438	-684	
1439	1439	-2515	
1440	1440	201	
1441	1441	2632	
1442	1442	695	
1443	1443	-2365	
1444	1444	-1172	
1445	1445	2188	
1446	1446	1874	
1447	1447	-1514	
1448	1448	-2185	
1449	1449	1120	
1450	1450	2559	
1451	1451	-223	
1452	1452	-2550	
1453	1453	-264	
1454	1454	2561	
1455	1455	1126	
1456	1456	-2153	
1457	1457	-1564	
1458	1458	1889	
1459	1459	2167	
1460	1460	-1115	
1461	1461	-2390	
1462	1462	675	
1463	1463	2637	
1464	1464	234	
1465	1465	-2503	
1466	1466	-734	
1467	1467	2410	
1468	1468	1517	
1469	1469	-1867	
1470	1470	-1909	
1471	1471	1529	
1472	1472	2401	
1473	1473	-678	
1474	1474	-2519	
1475	1475	203	
1476	1476	2631	
1477	1477	685	
1478	1478	-2368	
1479	1479	-1171	
1480	1480	2188	
1481	1481	1873	
1482	1482	-1518	
1483	1483	-2191	
1484	1484	1117	
1485	1485	2553	
1486	1486	-229	
1487	1487	-2552	
1488	1488	-267	
1489	1489	2550	
1490	1490	1119	
1491	1491	-2155	
1492	1492	-1569	
1493	1493	1891	
1494	1494	2168	
1495	1495	-1120	
1496	1496	-2393	
1497	1497	670	
1498	1498	2632	
1499	1499	237	
1500	1500	-2506	
1501	1501	-738	
1502	1502	2408	
1503	1503	1519	
1504	1504	-1870	
1505	1505	-1909	
1506	1506	1526	
1507	1507	2396	
1508	1508	-682	
1509	1509	-2516	
1510	1510	206	
1511	1511	2629	
1512	1512	687	
1513	1513	-2365	
1514	1514	-1169	
1515	1515	2189	
1516	1516	1875	
1517	1517	-1520	
1518	1518	-2192	
1519	1519	1120	
1520	1520	2560	
1521	1521	-225	
1522	1522	-2552	
1523	1523	-267	
1524	1524	2557	
1525	1525	1117	
1526	1526	-2153	
1527	1527	-1570	
1528	1528	1888	
1529	1529	2170	
1530	1530	-1114	
1531	1531	-2391	
1532	1532	675	
1533	1533	2632	
1534	1534	242	
1535	1535	-2502	
1536	1536	-732	
1537	1537	2412	
1538	1538	1528	
1539	1539	-1868	
1540	1540	-1909	
1541	1541	1526	
1542	1542	2403	
1543	1543	-681	
1544	1544	-2518	
1545	1545	205	
1546	1546	2627	
